id,name,sell,process,stats,obtained_monster,obtained_map,type,image_paths
4661,Sapphire Shield,180 Spina,90 Metal,Base DEF: 28; Physical Resistance %: 5; Guard Power %: 15; Guard Recharge %: 25; Evasion Recharge %: 1; Physical Barrier: 100; Tumble Unavailable: 1,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Shield,"['appearance/shield/sapphire shield_male', 'appearance/shield/sapphire shield_female']"
4662,Nom Nom Bone,85 Spina,42 Beast,Base DEF: 47; MaxMP: 400; Dodge %: 4; Attack MP Recovery: 4,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Additional,"['appearance/additional/nom nom bone_male', 'appearance/additional/nom nom bone_female']"
4663,Warlock Face Cover,87 Spina,43 Cloth,Base DEF: 50; Magic Pierce %: 8; CSPD %: 40; Aggro %: -15,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Additional,"['appearance/additional/warlock face cover_male', 'appearance/additional/warlock face cover_female']"
4664,Mohawk Wig,87 Spina,43 Cloth,Base DEF: 200; Physical Resistance %: 10; ASPD %: 30; Revive Time %: -20,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Additional,"['appearance/additional/mohawk wig_male', 'appearance/additional/mohawk wig_female']"
4665,Holy Sword,160 Spina,80 Metal,Base ATK: 242; Base Stability %: 80; Potential: 41,,[Player] Smith Skill,1 Handed Sword,"['appearance/1 handed sword/holy sword_male', 'appearance/1 handed sword/holy sword_female']"
4666,Sapphire Mace,180 Spina,90 Metal,Base ATK: 260; Base Stability %: 90; Potential: 44,,[Player] Smith Skill,1 Handed Sword,"['appearance/1 handed sword/sapphire mace_male', 'appearance/1 handed sword/sapphire mace_female']"
4667,Triangulum Bowgun,160 Spina,80 Wood,Base ATK: 193; Base Stability %: 50; Potential: 41; Attack Range (m): 8,,[Player] Smith Skill,Bowgun,"['appearance/bowgun/triangulum bowgun_male', 'appearance/bowgun/triangulum bowgun_female']"
4668,Vise Claws,160 Spina,80 Metal,Base ATK: 169; Base Stability %: 90; Potential: 41,,[Player] Smith Skill,Knuckles,"['appearance/knuckles/vise claws_male', 'appearance/knuckles/vise claws_female']"
4669,Adamantine Katana,160 Spina,80 Metal,Base ATK: 96; Base Stability %: 70; Potential: 41,,[Player] Smith Skill,Katana,"['appearance/katana/adamantine katana_male', 'appearance/katana/adamantine katana_female']"
4670,Vulture Shooter,190 Spina,95 Beast,Base ATK: 206; Physical Pierce %: 14; Accuracy: 100; Aggro %: -30; Wind Element: 1; Long Range Damage %: 7; Base Stability %: 50; Guard Break %: 28,Vulture(Lv 180) (ID: 2085); Vulture(Lv 190) (ID: 2086); Vulture(Lv 200) (ID: 2087); Vulture(Lv 210) (ID: 2088); Vulture(Lv 230) (ID: 2089),Geist Desert: Depths; Geist Desert: Depths; Geist Desert: Depths; Geist Desert: Depths; Geist Desert: Depths,Bow,"['appearance/bow/vulture shooter_male', 'appearance/bow/vulture shooter_female']"
4671,Vulture Blade,Unknown,unknown,Base ATK: 423; Physical Pierce %: 14; Aggro %: 30; Wind Element: 1; Short Range Damage %: 7; Base Stability %: 80; Additional Melee %: 100; Guard Break %: 28,Vulture(Lv 180) (ID: 2085); Vulture(Lv 190) (ID: 2086); Vulture(Lv 200) (ID: 2087); Vulture(Lv 210) (ID: 2088); Vulture(Lv 230) (ID: 2089),Geist Desert: Depths; Geist Desert: Depths; Geist Desert: Depths; Geist Desert: Depths; Geist Desert: Depths,2 Handed Sword,"['appearance/2 handed sword/vulture blade_male', 'appearance/2 handed sword/vulture blade_female']"
4672,Vulture,1 Spina,100 Mana,DEX %: 5; ATK %: 7; ASPD %: 3; Upgrade for: Tyrant Machina,Vulture(Lv 190) (ID: 2086); Vulture(Lv 200) (ID: 2087); Vulture(Lv 210) (ID: 2088); Vulture(Lv 230) (ID: 2089),Geist Desert: Depths; Geist Desert: Depths; Geist Desert: Depths; Geist Desert: Depths,Enhancer Crysta (Red),[]
4673,Desert Snake Scale,15 Spina,15 Beast,,Coronella(Lv 162) (ID: 2074); Coronella(Lv 166) (ID: 2078),Inanis Wilderness; Inanis Wilderness,Material,[]
4674,Mock Strawberry,17 Spina,17 Medicine,MP: 25,Coronella(Lv 162) (ID: 2074); Coronella(Lv 166) (ID: 2078),Inanis Wilderness; Inanis Wilderness,Usable,[]
4675,Deadly Venom,19 Spina,19 Medicine,,Coronella(Lv 162) (ID: 2074); Coronella(Lv 166) (ID: 2078),Inanis Wilderness; Inanis Wilderness,Material,[]
4676,Trench Knife,160 Spina,80 Metal,Base ATK: 60; Physical Pierce %: 5; DEF: 15; Guard Break %: 10,Coronella(Lv 162) (ID: 2074); Coronella(Lv 166) (ID: 2078),Inanis Wilderness; Inanis Wilderness,Dagger,[]
4677,Broken Black Feather,15 Spina,15 Beast,,Minimyu(Lv 164) (ID: 2075),Inanis Wilderness,Material,[]
4678,White Beak,17 Spina,17 Beast,,Minimyu(Lv 164) (ID: 2075),Inanis Wilderness,Material,[]
4679,Rock Salt,19 Spina,19 Medicine,,Minimyu(Lv 164) (ID: 2075),Inanis Wilderness,Material,[]
4680,AGI+6,1 Spina,2 Mana,AGI: 6,Minimyu(Lv 164) (ID: 2075),Inanis Wilderness,Normal Crysta,[]
4681,Sandstone Tiny Horn,15 Spina,15 Beast,,Sandsaur(Lv 165) (ID: 2076); Sandsaur(Lv 163) (ID: 2077),Inanis Wilderness; Inanis Wilderness,Material,[]
4682,Inanis Stone,17 Spina,17 Metal,,Sandsaur(Lv 165) (ID: 2076); Sandsaur(Lv 163) (ID: 2077),Inanis Wilderness; Inanis Wilderness,Material,[]
4683,Sandstone Claw,19 Spina,19 Beast,,Sandsaur(Lv 165) (ID: 2076); Sandsaur(Lv 163) (ID: 2077),Inanis Wilderness; Inanis Wilderness,Material,[]
4684,Holy Shield,160 Spina,80 Metal,Base DEF: 45; MaxHP %: 20; Magic Resistance %: 8; Dark resistance %: 7; Guard Power %: 13; Guard Recharge %: 40,Sandsaur(Lv 165) (ID: 2076); Sandsaur(Lv 163) (ID: 2077),Inanis Wilderness; Inanis Wilderness,Shield,"['appearance/shield/holy shield_male', 'appearance/shield/holy shield_female']"
4685,Torn Red Cloth,17 Spina,17 Cloth,,Sand Bandits Potum(Lv 174) (ID: 2079); Sand Bandits Potum(Lv 177) (ID: 2083),Geist Desert: Area 1; Geist Desert: Area 3,Material,[]
4686,Broken Sand Bandits Mask,19 Spina,19 Metal,,Sand Bandits Potum(Lv 174) (ID: 2079); Sand Bandits Potum(Lv 177) (ID: 2083),Geist Desert: Area 1; Geist Desert: Area 3,Material,[]
4687,Coarse Fur,21 Spina,21 Beast,,Sand Bandits Potum(Lv 174) (ID: 2079); Sand Bandits Potum(Lv 177) (ID: 2083),Geist Desert: Area 1; Geist Desert: Area 3,Material,[]
4688,Spirit Staff,160 Spina,80 Wood,Base ATK: 242; VIT %: 3; MaxHP %: 10; MATK %: 6; Ailment Resistance %: 1; Light Element: 1; Base Stability %: 60,Sand Bandits Potum(Lv 174) (ID: 2079); Sand Bandits Potum(Lv 177) (ID: 2083); Acernix(Lv 160) (ID: 2210),Geist Desert: Area 1; Geist Desert: Area 3; Tomte Pavillion (150-170),Staff,"['appearance/staff/spirit staff_male', 'appearance/staff/spirit staff_female']"
4689,Ripped Pants,17 Spina,17 Cloth,,Sand Bandits Chopper(Lv 175) (ID: 2080); Sand Bandits Chopper(Lv 175) (ID: 2081),Geist Desert: Area 1; Geist Desert: Area 2,Material,[]
4690,Sand Bandits Bandage,19 Spina,19 Cloth,,Sand Bandits Chopper(Lv 175) (ID: 2080); Sand Bandits Chopper(Lv 175) (ID: 2081); Sand Bandits Leader(Lv 215) (ID: 2090),Geist Desert: Area 1; Geist Desert: Area 2; Geist Desert: Area 3,Material,[]
4691,Blood Stained Billhook,21 Spina,21 Metal,,Sand Bandits Chopper(Lv 175) (ID: 2080); Sand Bandits Chopper(Lv 175) (ID: 2081); Sand Bandits Leader(Lv 215) (ID: 2090),Geist Desert: Area 1; Geist Desert: Area 2; Geist Desert: Area 3,Material,[]
4692,Punisher Bow,160 Spina,80 Metal,Base ATK: 145; MaxMP: 300; ATK %: 6; MDEF %: 10; Fire Element: 1; Base Stability %: 60; Attack Range (m): 10,Sand Bandits Chopper(Lv 175) (ID: 2080); Sand Bandits Chopper(Lv 175) (ID: 2081),Geist Desert: Area 1; Geist Desert: Area 2,Bow,"['appearance/bow/punisher bow_male', 'appearance/bow/punisher bow_female']"
4693,Tattered Boots,17 Spina,17 Cloth,,Sand Bandits Gan(Lv 176) (ID: 2082); Sand Bandits Gan(Lv 178) (ID: 2084),Geist Desert: Area 2; Geist Desert: Area 3,Material,[]
4694,Sand Bandits Cape,19 Spina,19 Cloth,,Sand Bandits Gan(Lv 176) (ID: 2082); Sand Bandits Gan(Lv 178) (ID: 2084),Geist Desert: Area 2; Geist Desert: Area 3,Material,[]
4695,Spiky Shoulder Pads,21 Spina,20 Metal,,Sand Bandits Gan(Lv 176) (ID: 2082); Sand Bandits Gan(Lv 178) (ID: 2084),Geist Desert: Area 2; Geist Desert: Area 3,Material,[]
4696,Ignis Glaive,160 Spina,80 Metal,Base ATK: 387; MaxHP: 200; ATK %: 6; Critical Rate: 10; Fire Element: 1; Base Stability %: 60,Sand Bandits Gan(Lv 176) (ID: 2082); Sand Bandits Gan(Lv 178) (ID: 2084); Iceberg(Lv 180) (ID: 2524); Iceberg(Lv 180) (ID: 2525); Iceberg(Lv 180) (ID: 2526); Iceberg(Lv 182) (ID: 2527); Iceberg(Lv 182) (ID: 2528),Geist Desert: Area 2; Geist Desert: Area 3; Noeliel Castle: B1F (170-190); Noeliel Castle: B2F (170-190); Noeliel Castle: B3F (170-190); Noeliel Castle: B2F (170-190); Noeliel Castle: B3F (170-190),Halberd,"['appearance/halberd/ignis glaive_male', 'appearance/halberd/ignis glaive_female']"
4697,Crystal Goshawk Claw,20 Spina,20 Beast,,Vulture(Lv 180) (ID: 2085); Vulture(Lv 190) (ID: 2086); Vulture(Lv 200) (ID: 2087); Vulture(Lv 210) (ID: 2088); Vulture(Lv 230) (ID: 2089),Geist Desert: Depths; Geist Desert: Depths; Geist Desert: Depths; Geist Desert: Depths; Geist Desert: Depths,Material,[]
4698,Crystal Goshawk Blade,24 Spina,24 Beast,,Vulture(Lv 180) (ID: 2085); Vulture(Lv 190) (ID: 2086); Vulture(Lv 200) (ID: 2087); Vulture(Lv 210) (ID: 2088); Vulture(Lv 230) (ID: 2089),Geist Desert: Depths; Geist Desert: Depths; Geist Desert: Depths; Geist Desert: Depths; Geist Desert: Depths,Material,[]
4699,Vulture Core,28 Spina,Mana,,Vulture(Lv 180) (ID: 2085); Vulture(Lv 190) (ID: 2086); Vulture(Lv 200) (ID: 2087); Vulture(Lv 210) (ID: 2088); Vulture(Lv 230) (ID: 2089),Geist Desert: Depths; Geist Desert: Depths; Geist Desert: Depths; Geist Desert: Depths; Geist Desert: Depths,Material,[]
4700,Crystal Goshawk Lash,25 Spina,25 Beast,,Vulture(Lv 180) (ID: 2085); Vulture(Lv 190) (ID: 2086); Vulture(Lv 200) (ID: 2087); Vulture(Lv 210) (ID: 2088); Vulture(Lv 230) (ID: 2089),Geist Desert: Depths; Geist Desert: Depths; Geist Desert: Depths; Geist Desert: Depths; Geist Desert: Depths,Material,[]
4701,Leader's Hair Accessory,Unknown,Metal,,Sand Bandits Leader(Lv 215) (ID: 2090),Geist Desert: Area 3,Material,[]
4702,Sand Bandit Mask,107 Spina,53 Metal,Base DEF: 140; Physical Pierce %: 12; Earth resistance %: 12; Unsheathe Attack %: 12; Invincible Aid (sec): 3,Sand Bandits Leader(Lv 215) (ID: 2090),Geist Desert: Area 3,Additional,"['appearance/additional/sand bandit mask_male', 'appearance/additional/sand bandit mask_female']"
4703,Sand Bandits Leader,1 Spina,100 Mana,MATK %: -5; Evasion Recharge %: 8; Aggro %: 16; Upgrade for: Violaccoon,Sand Bandits Leader(Lv 215) (ID: 2090),Geist Desert: Area 3,Enhancer Crysta (Purple),[]
4704,5th Anniv Sword,75 Spina,37 Metal,Base ATK: 87; STR %: 4; ATK %: 4; Magic Resistance %: 30; Critical Rate: 3; Attack MP Recovery: 9; Base Stability %: 80,Anniv Equipment Box V (ID: 3054),[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,1 Handed Sword,"['appearance/1 handed sword/5th anniv sword_male', 'appearance/1 handed sword/5th anniv sword_female']"
4705,5th Anniv Greatsword,75 Spina,37 Metal,Base ATK: 130; STR %: 4; Critical Rate: 25; Guard Power %: 3; Short Range Damage %: 4; Base Stability %: 70; Guard Break %: 9,Anniv Equipment Box V (ID: 3054),[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,2 Handed Sword,"['appearance/2 handed sword/5th anniv greatsword_male', 'appearance/2 handed sword/5th anniv greatsword_female']"
4706,5th Anniv Bow,75 Spina,37 Wood,Base ATK: 52; DEX %: 4; Accuracy %: 30; Critical Damage: 8; Long Range Damage %: 4; Base Stability %: 60; Anticipate %: 3; Attack Range (m): 10,Anniv Equipment Box V (ID: 3054),[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Bow,"['appearance/bow/5th anniv bow_male', 'appearance/bow/5th anniv bow_female']"
4707,5th Anniv Bowgun,75 Spina,37 Wood,Base ATK: 69; DEX %: 4; ATK %: 4; Physical Pierce %: 8; ASPD: 1000; Base Stability %: 50; Absolute Accuracy %: 2; Attack Range (m): 8,Anniv Equipment Box V (ID: 3054),[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Bowgun,"['appearance/bowgun/5th anniv bowgun_male', 'appearance/bowgun/5th anniv bowgun_female']"
4708,5th Anniv Staff,75 Spina,37 Wood,Base ATK: 87; INT %: 4; MaxMP: 400; MATK %: 4; Physical Resistance %: 30; CSPD %: 20; Base Stability %: 60,Anniv Equipment Box V (ID: 3054),[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Staff,"['appearance/staff/5th anniv staff_male', 'appearance/staff/5th anniv staff_female']"
4709,5th Anniv Wings,75 Spina,37 Mana,Base ATK: 43; INT %: 4; MATK %: 4; Magic Pierce %: 8; CSPD: 1000; Base Stability %: 70; Additional Magic %: 80,Anniv Equipment Box V (ID: 3054),[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Magic Device,"['appearance/magic device/5th anniv wings_male', 'appearance/magic device/5th anniv wings_female']"
4710,5th Anniv Knuckles,75 Spina,37 Metal,Base ATK: 60; AGI %: 4; MaxHP: 3000; Dodge %: 12; Short Range Damage %: 4; Base Stability %: 90; Absolute Dodge %: 2,Anniv Equipment Box V (ID: 3054),[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Knuckles,"['appearance/knuckles/5th anniv knuckles_male', 'appearance/knuckles/5th anniv knuckles_female']"
4711,5th Anniv Halberd,75 Spina,37 Metal,Base ATK: 139; AGI %: 4; ATK %: 4; Stability %: 15; Accuracy %: 9; Attack MP Recovery: 8; Base Stability %: 60,Anniv Equipment Box V (ID: 3054),[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Halberd,"['appearance/halberd/5th anniv halberd_male', 'appearance/halberd/5th anniv halberd_female']"
4712,5th Anniv Katana,75 Spina,37 Metal,Base ATK: 34; DEX %: 4; Physical Pierce %: 15; Critical Rate: 12; Short Range Damage %: 4; Base Stability %: 70; Unsheathe Attack %: 8,Anniv Equipment Box V (ID: 3054),[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Katana,"['appearance/katana/5th anniv katana_male', 'appearance/katana/5th anniv katana_female']"
4713,5th Anniv Shield,75 Spina,37 Metal,Base DEF: 10; MaxHP %: 3; Physical Resistance %: 3; Magic Resistance %: 3; Guard Power %: 30; Guard Recharge %: 10; Fractional Barrier %: 15,Anniv Equipment Box V (ID: 3054),[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Shield,"['appearance/shield/5th anniv shield_male', 'appearance/shield/5th anniv shield_female']"
4714,5th Anniv Sword II,110 Spina,55 Metal,Base ATK: 142; STR %: 5; ATK %: 5; Magic Resistance %: 30; Critical Rate: 5; Attack MP Recovery: 10; Base Stability %: 80,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,1 Handed Sword,"['appearance/1 handed sword/5th anniv sword ii_male', 'appearance/1 handed sword/5th anniv sword ii_female']"
4715,5th Anniv Greatsword II,110 Spina,55 Metal,Base ATK: 213; STR %: 5; Critical Rate: 25; Guard Power %: 5; Short Range Damage %: 5; Base Stability %: 70; Guard Break %: 10,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,2 Handed Sword,"['appearance/2 handed sword/5th anniv greatsword ii_male', 'appearance/2 handed sword/5th anniv greatsword ii_female']"
4716,5th Anniv Bow II,110 Spina,55 Wood,Base ATK: 85; DEX %: 5; Accuracy %: 30; Critical Damage: 10; Long Range Damage %: 5; Base Stability %: 60; Anticipate %: 5; Attack Range (m): 10,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Bow,"['appearance/bow/5th anniv bow ii_male', 'appearance/bow/5th anniv bow ii_female']"
4717,5th Anniv Bowgun II,110 Spina,55 Wood,Base ATK: 113; DEX %: 5; ATK %: 5; Physical Pierce %: 10; ASPD: 1000; Base Stability %: 50; Absolute Accuracy %: 4; Attack Range (m): 8,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Bowgun,"['appearance/bowgun/5th anniv bowgun ii_male', 'appearance/bowgun/5th anniv bowgun ii_female']"
4718,5th Anniv Staff II,110 Spina,55 Wood,Base ATK: 142; INT %: 5; MaxMP: 450; MATK %: 5; Physical Resistance %: 30; CSPD %: 25; Base Stability %: 60,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Staff,"['appearance/staff/5th anniv staff ii_male', 'appearance/staff/5th anniv staff ii_female']"
4719,5th Anniv Wings II,110 Spina,55 Mana,Base ATK: 71; INT %: 5; MATK %: 5; Magic Pierce %: 10; CSPD: 1000; Base Stability %: 70; Additional Magic %: 90,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Magic Device,"['appearance/magic device/5th anniv wings ii_male', 'appearance/magic device/5th anniv wings ii_female']"
4720,5th Anniv Knuckles II,110 Spina,55 Metal,Base ATK: 99; AGI %: 5; MaxHP: 3000; Dodge %: 15; Short Range Damage %: 5; Base Stability %: 90; Absolute Dodge %: 4,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Knuckles,"['appearance/knuckles/5th anniv knuckles ii_male', 'appearance/knuckles/5th anniv knuckles ii_female']"
4721,5th Anniv Halberd II,110 Spina,55 Metal,Base ATK: 227; AGI %: 5; ATK %: 5; Stability %: 15; Accuracy %: 10; Attack MP Recovery: 10; Base Stability %: 60,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Halberd,"['appearance/halberd/5th anniv halberd ii_male', 'appearance/halberd/5th anniv halberd ii_female']"
4722,5th Anniv Katana II,110 Spina,55 Metal,Base ATK: 56; DEX %: 5; Physical Pierce %: 15; Critical Rate: 15; Short Range Damage %: 5; Base Stability %: 70; Unsheathe Attack %: 9,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Katana,"['appearance/katana/5th anniv katana ii_male', 'appearance/katana/5th anniv katana ii_female']"
4723,5th Anniv Shield II,110 Spina,55 Metal,Base DEF: 22; MaxHP %: 5; Physical Resistance %: 5; Magic Resistance %: 5; Guard Power %: 36; Guard Recharge %: 12; Fractional Barrier %: 15,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Shield,"['appearance/shield/5th anniv shield ii_male', 'appearance/shield/5th anniv shield ii_female']"
4724,5th Anniv Sword III,145 Spina,72 Metal,Base ATK: 209; STR %: 6; ATK %: 6; Magic Resistance %: 30; Critical Rate: 7; Attack MP Recovery: 11; Base Stability %: 80,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,1 Handed Sword,"['appearance/1 handed sword/5th anniv sword iii_male', 'appearance/1 handed sword/5th anniv sword iii_female']"
4725,5th Anniv Greatsword III,145 Spina,72 Metal,Base ATK: 313; STR %: 6; Critical Rate: 25; Guard Power %: 7; Short Range Damage %: 6; Base Stability %: 70; Guard Break %: 11,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,2 Handed Sword,"['appearance/2 handed sword/5th anniv greatsword iii_male', 'appearance/2 handed sword/5th anniv greatsword iii_female']"
4726,5th Anniv Bow III,145 Spina,72 Wood,Base ATK: 125; DEX %: 6; Accuracy %: 30; Critical Damage: 12; Long Range Damage %: 6; Base Stability %: 60; Anticipate %: 7; Attack Range (m): 10,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Bow,"['appearance/bow/5th anniv bow iii_male', 'appearance/bow/5th anniv bow iii_female']"
4727,5th Anniv Bowgun III,145 Spina,72 Wood,Base ATK: 167; DEX %: 6; ATK %: 6; Physical Pierce %: 12; ASPD: 1000; Base Stability %: 50; Absolute Accuracy %: 6; Attack Range (m): 8,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Bowgun,"['appearance/bowgun/5th anniv bowgun iii_male', 'appearance/bowgun/5th anniv bowgun iii_female']"
4728,5th Anniv Staff III,145 Spina,72 Wood,Base ATK: 209; INT %: 6; MaxMP: 500; MATK %: 6; Physical Resistance %: 30; CSPD %: 30; Base Stability %: 60,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Staff,"['appearance/staff/5th anniv staff iii_male', 'appearance/staff/5th anniv staff iii_female']"
4729,5th Anniv Wings III,145 Spina,72 Mana,Base ATK: 104; INT %: 6; MATK %: 6; Magic Pierce %: 12; CSPD: 1000; Base Stability %: 70; Additional Magic %: 100,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Magic Device,"['appearance/magic device/5th anniv wings iii_male', 'appearance/magic device/5th anniv wings iii_female']"
4730,5th Anniv Knuckles III,145 Spina,72 Metal,Base ATK: 146; AGI %: 6; MaxHP: 3000; Dodge %: 18; Short Range Damage %: 6; Base Stability %: 90; Absolute Dodge %: 6,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Knuckles,"['appearance/knuckles/5th anniv knuckles iii_male', 'appearance/knuckles/5th anniv knuckles iii_female']"
4731,5th Anniv Halberd III,145 Spina,72 Metal,Base ATK: 334; AGI %: 6; ATK %: 6; Stability %: 15; Accuracy %: 11; Attack MP Recovery: 12; Base Stability %: 60,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Halberd,"['appearance/halberd/5th anniv halberd iii_male', 'appearance/halberd/5th anniv halberd iii_female']"
4732,5th Anniv Katana III,145 Spina,72 Metal,Base ATK: 83; DEX %: 6; Physical Pierce %: 15; Critical Rate: 18; Short Range Damage %: 6; Base Stability %: 70; Unsheathe Attack %: 10,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Katana,"['appearance/katana/5th anniv katana iii_male', 'appearance/katana/5th anniv katana iii_female']"
4733,5th Anniv Shield III,145 Spina,72 Metal,Base DEF: 36; MaxHP %: 7; Physical Resistance %: 7; Magic Resistance %: 7; Guard Power %: 38; Guard Recharge %: 13; Fractional Barrier %: 15,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Shield,"['appearance/shield/5th anniv shield iii_male', 'appearance/shield/5th anniv shield iii_female']"
4734,5th Anniv Sword IV,160 Spina,80 Metal,Base ATK: 242; STR %: 6; ATK %: 6; Magic Resistance %: 30; Critical Rate: 9; Attack MP Recovery: 12; Base Stability %: 80,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,1 Handed Sword,"['appearance/1 handed sword/5th anniv sword iv_male', 'appearance/1 handed sword/5th anniv sword iv_female']"
4735,5th Anniv Greatsword IV,160 Spina,80 Metal,Base ATK: 363; STR %: 6; Critical Rate: 25; Guard Power %: 9; Short Range Damage %: 6; Base Stability %: 70; Guard Break %: 12,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,2 Handed Sword,"['appearance/2 handed sword/5th anniv greatsword iv_male', 'appearance/2 handed sword/5th anniv greatsword iv_female']"
4736,5th Anniv Bow IV,160 Spina,80 Wood,Base ATK: 145; DEX %: 6; Accuracy %: 30; Critical Damage: 12; Long Range Damage %: 6; Base Stability %: 60; Anticipate %: 9; Attack Range (m): 10,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Bow,"['appearance/bow/5th anniv bow iv_male', 'appearance/bow/5th anniv bow iv_female']"
4737,5th Anniv Bowgun IV,160 Spina,80 Wood,Base ATK: 193; DEX %: 6; ATK %: 6; Physical Pierce %: 14; ASPD: 1000; Base Stability %: 50; Absolute Accuracy %: 8; Attack Range (m): 8,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Bowgun,"['appearance/bowgun/5th anniv bowgun iv_male', 'appearance/bowgun/5th anniv bowgun iv_female']"
4738,5th Anniv Staff IV,160 Spina,80 Wood,Base ATK: 242; INT %: 6; MaxMP: 550; MATK %: 6; Physical Resistance %: 30; CSPD %: 35; Base Stability %: 60,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Staff,"['appearance/staff/5th anniv staff iv_male', 'appearance/staff/5th anniv staff iv_female']"
4739,5th Anniv Wings IV,160 Spina,80 Mana,Base ATK: 121; INT %: 6; MATK %: 6; Magic Pierce %: 14; CSPD: 1000; Base Stability %: 70; Additional Magic %: 110,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Magic Device,"['appearance/magic device/5th anniv wings iv_male', 'appearance/magic device/5th anniv wings iv_female']"
4740,5th Anniv Knuckles IV,160 Spina,80 Metal,Base ATK: 169; AGI %: 6; MaxHP: 3000; Dodge %: 21; Short Range Damage %: 6; Base Stability %: 90; Absolute Dodge %: 8,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Knuckles,"['appearance/knuckles/5th anniv knuckles iv_male', 'appearance/knuckles/5th anniv knuckles iv_female']"
4741,5th Anniv Halberd IV,160 Spina,80 Metal,Base ATK: 387; AGI %: 6; ATK %: 6; Stability %: 15; Accuracy %: 12; Attack MP Recovery: 14; Base Stability %: 60,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Halberd,"['appearance/halberd/5th anniv halberd iv_male', 'appearance/halberd/5th anniv halberd iv_female']"
4742,5th Anniv Katana IV,160 Spina,80 Metal,Base ATK: 96; DEX %: 6; Physical Pierce %: 15; Critical Rate: 21; Short Range Damage %: 6; Base Stability %: 70; Unsheathe Attack %: 11,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Katana,"['appearance/katana/5th anniv katana iv_male', 'appearance/katana/5th anniv katana iv_female']"
4743,5th Anniv Shield IV,160 Spina,80 Metal,Base DEF: 45; MaxHP %: 8; Physical Resistance %: 8; Magic Resistance %: 8; Guard Power %: 38; Guard Recharge %: 13; Fractional Barrier %: 15,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,Shield,"['appearance/shield/5th anniv shield iv_male', 'appearance/shield/5th anniv shield iv_female']"
4744,5th Anniv Sword V,175 Spina,87 Metal,Base ATK: 277; STR %: 7; ATK %: 7; Magic Resistance %: 30; Critical Rate: 11; Attack MP Recovery: 13; Base Stability %: 80; Reduce Dmg (Floor) %: 2,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,1 Handed Sword,"['appearance/1 handed sword/5th anniv sword v_male', 'appearance/1 handed sword/5th anniv sword v_female']"
4745,5th Anniv Greatsword V,175 Spina,87 Metal,Base ATK: 415; STR %: 7; Critical Rate: 25; Guard Power %: 11; Short Range Damage %: 7; Base Stability %: 70; Guard Break %: 13; Reduce Dmg (Meteor) %: 2,,[NPC] Blacksmith : Zaldo; Sofya City: Blacksmith,2 Handed Sword,"['appearance/2 handed sword/5th anniv greatsword v_male', 'appearance/2 handed sword/5th anniv greatsword v_female']"
